stock_id,stock_name,keyword,industry,note
2330,台積電,台積電 股票,半導體,0050最大權重成分股;anchor keyword使用股
2454,聯發科,聯發科 股票,半導體(IC設計),0050成分股
2308,台達電,台達電 股票,電子零組件(電源供應),0050成分股
2317,鴻海,鴻海 股票,電子代工,0050成分股
3711,日月光投控,日月光投控 股票,半導體(封測),0050成分股
2303,聯電,聯電 股票,半導體(晶圓代工),0050成分股
2327,國巨,國巨 股票,電子零組件(被動元件),0050成分股
2383,台光電,台光電 股票,電子零組件(銅箔基板),0050成分股
3037,欣興電子,欣興電子 股票,電子零組件(PCB),名稱單用「欣興」較模糊，關鍵字改用全名
2891,中信金,中信金 股票,金融保險,0050成分股
2881,富邦金,富邦金 股票,金融保險,0050成分股
2882,國泰金,國泰金 股票,金融保險,0050成分股
2382,廣達,廣達 股票,電腦及周邊(伺服器),0050成分股
2345,智邦,智邦 股票,通訊網路設備,0050成分股
2412,中華電信,中華電信 股票,電信服務,名稱單用「中華電」較模糊，關鍵字改用全名
3017,奇鋐,奇鋐 股票,電子零組件(散熱模組),0050成分股
2886,兆豐金,兆豐金 股票,金融保險,0050成分股
6669,緯穎,緯穎 股票,電腦及周邊(伺服器),0050成分股
3231,緯創,緯創 股票,電子代工,0050成分股
2357,華碩,華碩 股票,電腦及周邊,0050成分股
1216,統一企業,統一企業 股票,食品,名稱單用「統一」易與一般詞彙混淆，關鍵字改用全名
2884,玉山金,玉山金 股票,金融保險,0050成分股
2885,元大金,元大金 股票,金融保險,0050成分股
2301,光寶科,光寶科 股票,電子零組件,0050成分股
2356,英業達,英業達 股票,電子代工,0050成分股
2002,中鋼,中鋼 股票,鋼鐵,0050成分股
1301,台塑,台塑 股票,塑膠,0050成分股
1303,南亞塑膠,南亞塑膠 股票,塑膠,名稱單用「南亞」易與「南亞地區」混淆，關鍵字改用全名
1326,台化,台化 股票,塑膠/紡織纖維,0050成分股
1101,台泥,台泥 股票,水泥,0050成分股
3045,台灣大哥大,台灣大哥大 股票,電信服務,名稱單用「台灣大」較模糊，關鍵字改用全名
4904,遠傳電信,遠傳電信 股票,電信服務,名稱單用「遠傳」較模糊，關鍵字改用全名
3008,大立光,大立光 股票,光學元件,0050成分股
2379,瑞昱,瑞昱 股票,半導體(IC設計),0050成分股(2026年3月一度調出/調整中)
3034,聯詠,聯詠 股票,半導體(IC設計),0050成分股(2026年3月一度調出/調整中)
2610,中華航空,中華航空 股票,航運(航空),名稱單用「華航」較模糊，關鍵字改用全名
2618,長榮航空,長榮航空 股票,航運(航空),名稱單用「長榮航」與「長榮」集團易混淆，關鍵字改用全名
2603,長榮,長榮 股票,航運(海運),與既有5檔pilot股票重疊，沿用原關鍵字
2609,陽明海運,陽明海運 股票,航運(海運),名稱單用「陽明」易與「陽明山/陽明大學」混淆，關鍵字改用全名
2615,萬海,萬海 股票,航運(海運),0050成分股(2026年3月一度調出/調整中)
2912,統一超,統一超 股票,零售(便利商店),0050成分股(2026年3月一度調出/調整中)
2449,京元電子,京元電子 股票,半導體(封測),0050成分股
2344,華邦電,華邦電 股票,半導體(記憶體),0050成分股
2408,南亞科,南亞科 股票,半導體(記憶體),與1303南亞塑膠為不同公司，關鍵字已含「科」避免混淆
2337,旺宏,旺宏 股票,半導體(記憶體),0050成分股
2368,金像電,金像電 股票,電子零組件(PCB),0050成分股
2059,川湖,川湖 股票,機械(滑軌),0050成分股
2360,致茂,致茂 股票,電子設備(測試儀器),0050成分股
2395,研華,研華 股票,電腦及周邊(工業電腦),0050成分股
3661,世芯-KY,世芯-KY 股票,半導體(IC設計服務),0050成分股;股名含「-KY」為F股註記
