stock_id,stock_name,industry,week,attention_z,attention_shock,residual_attention_z,is_attention_event_z2,past_1w_return,past_4w_return,past_8w_return,past_12w_return,past_26w_return,future_1w_excess_return,future_2w_excess_return,future_4w_excess_return,volume_ratio_4w,volatility_12w,liquidity_rank,foreign_net_buy_value_1w,foreign_net_buy_value_4w,foreign_net_buy_ratio_1w,foreign_net_buy_ratio_4w,trust_net_buy_value_1w,trust_net_buy_value_4w,trust_net_buy_ratio_1w,trust_net_buy_ratio_4w,dealer_net_buy_value_1w,dealer_net_buy_value_4w,dealer_net_buy_ratio_1w,dealer_net_buy_ratio_4w,total_inst_net_buy_value_1w,total_inst_net_buy_value_4w,total_inst_net_buy_ratio_1w,total_inst_net_buy_ratio_4w
2317,鴻海,電子代工,2021-12-19,-0.4833,-0.0689,0.197698938621269,False,-0.0143,-0.0282,-0.0372,-0.0372,-0.0717,-0.0069,-0.034,-0.0436,1.5128,0.0115,11.0,-36183949.0,-130200044.0,-0.2596797924901193,-0.2504021645878947,2700106.0,815230.0,0.0193777347459042,0.0015678593521595,-785292.0,-898868.0,-0.0056357713638207,-0.0017287128787667,-34269135.0,-130283682.0,-0.2459378291080358,-0.2505630181145019
2317,鴻海,電子代工,2021-12-26,-1.4031,-0.2059,-0.4587469698059924,False,0.0048,0.0048,-0.028,0.0097,-0.0796,-0.0266,-0.0106,-0.011,0.4902,0.0115,12.0,-6791219.0,-91227040.0,-0.09810170014399,-0.191717836391222,-1329372.0,626858.0,-0.0192032760722068,0.0013173710282009,-403847.0,-1515719.0,-0.0058337210592163,-0.0031853534572322,-8524438.0,-92115901.0,-0.1231386972754131,-0.1935858188202533
2317,鴻海,電子代工,2022-01-02,-1.331,-0.2,-0.4316695744513378,False,0.0,-0.0095,-0.0459,-0.037,-0.0673,0.0163,-0.0091,0.0203,0.8487,0.011,12.0,-3148648.0,-72441934.0,-0.0471789010108816,-0.1798618654053618,-2409890.0,-1159772.0,-0.0361094545205159,-0.0028795304576615,468368.0,-790500.0,0.0070179605686836,-0.0019626864821546,-5090170.0,-74392206.0,-0.0762703949627139,-0.184704082345178
2317,鴻海,電子代工,2022-01-09,-1.2691,-0.1944,-0.170343763239011,False,0.024,0.0143,-0.0229,-0.0274,-0.0658,-0.0253,-0.0006,0.0042,1.4117,0.0116,12.0,-10992426.0,-61894896.0,-0.0403807568244168,-0.1112512771113567,-468816.0,-1095588.0,-0.0017221989842274,-0.0019692344937113,2345191.0,1419420.0,0.0086150761877142,0.0025512974083905,-9116051.0,-61571064.0,-0.03348787962093,-0.1106692141966775
2317,鴻海,電子代工,2022-01-16,-2.3764,-0.4059,-0.9792027374888,False,-0.0282,0.0,-0.0282,-0.0372,-0.1339,0.0241,0.0289,0.0333,1.3594,0.0113,10.0,-45009320.0,-72676908.0,-0.3242246979535861,-0.126466222505288,451190.0,-3730504.0,0.0032501477798304,-0.0064915082645077,-1328887.0,953825.0,-0.0095726393153561,0.0016597657770623,-45887017.0,-75453587.0,-0.3305471894891118,-0.1312979649927333
2317,鴻海,電子代工,2022-01-23,-2.4613,-0.472,-0.480053162952947,False,-0.0145,-0.0192,-0.0145,-0.0467,-0.0769,0.0049,0.0049,0.0162,1.15,0.0112,9.0,-29042485.0,-88192879.0,-0.2439426696086569,-0.1477678971957325,-596535.0,-3024051.0,-0.0050106022406484,-0.0050668224277229,-362548.0,1122124.0,-0.0030452258813692,0.0018801280302105,-30001568.0,-90094806.0,-0.2519984977306747,-0.1509545915932448
2317,鴻海,電子代工,2022-01-30,-3.5883,-0.9223,-0.0234232910920115,False,0.0,-0.0192,-0.0286,-0.0642,-0.0727,0.0,0.0043,0.0147,1.0051,0.0112,9.0,-49749953.0,-118625505.0,-0.2951509646699512,-0.1782946213783552,1400000.0,29178.0,0.0083057636363582,4.385465387546844e-05,-764293.0,-183488.0,-0.0045343121478022,-0.0002757832178457,-49114246.0,-118779815.0,-0.2913795131813952,-0.1785265499423255
2317,鴻海,電子代工,2022-02-06,-0.2602,-0.066,-0.2074127091011984,False,0.0,-0.0423,-0.0286,-0.0642,-0.0933,0.0043,0.0112,0.0355,1.0051,0.0112,9.0,-49749953.0,-118625505.0,-0.2951509646699512,-0.1782946213783552,1400000.0,29178.0,0.0083057636363582,4.385465387546844e-05,-764293.0,-183488.0,-0.0045343121478022,-0.0002757832178457,-49114246.0,-118779815.0,-0.2913795131813952,-0.1785265499423255
2317,鴻海,電子代工,2022-02-13,0.0458,0.0114,0.0416910151591237,False,0.0392,0.0242,0.0242,-0.0047,-0.0275,0.0068,0.0103,0.0264,0.5665,0.0115,9.0,9926487.0,-95071728.0,0.0716232735415127,-0.1611836709460936,7349000.0,9302984.0,0.0530257519358638,0.0157721874148829,714635.0,-5690216.0,0.0051563557265867,-0.0096471361428941,17990122.0,-91458960.0,0.1298053812039633,-0.1550586196741047
2317,鴻海,電子代工,2022-02-20,-0.2616,-0.0646,-0.0257845217328809,False,-0.0047,0.0343,0.0144,0.0193,0.0096,0.0036,0.0242,0.0221,0.4482,0.0116,11.0,-363074.0,-65238179.0,-0.0041979647096429,-0.1285203570767905,1230000.0,10401776.0,0.0142216093492258,0.0204916811941177,-445776.0,-1949766.0,-0.005154188722976,-0.0038410732239504,421150.0,-56786169.0,0.0048694559166068,-0.1118697491066231
