event_definition,offset,AAR,CAAR,CAAR_from_signal,n_events,AAR_t_stat,AAR_p_value
attention_z2,-4,0.00672256350695947,0.00672256350695947,,388,1.966056779892221,0.050006492758050594
attention_z2,-3,0.007674255738739997,0.01439681924569947,,388,2.563952805193586,0.010725505980521499
attention_z2,-2,0.019791002335411936,0.03418782158111141,,388,5.694587588304135,2.4492435325230292e-08
attention_z2,-1,0.03131243644575075,0.06550025802686214,,388,7.406770379652312,8.179115827278078e-13
attention_z2,0,0.004684094832724156,0.07018435285958631,,388,1.4056330943066428,0.16063540298155252
attention_z2,1,0.009495513526130072,0.07967986638571638,0.009495513526130072,388,2.7018376272107902,0.007199101500853176
attention_z2,2,0.006214642900951227,0.086656017172817,0.01609838365247818,381,1.817402546220461,0.06994294222303597
attention_z2,3,0.0076036293052157995,0.09205606880535384,0.022594869629770437,383,2.274435092100618,0.023493687499014954
attention_z2,4,0.007259063431047591,0.10225378711788079,0.03006317051052292,383,2.1949790905952336,0.02876626136748304
attention_z2,5,-0.005699433686760762,0.09594062321958972,0.025948519766215334,377,-1.9620104396596598,0.0504985401654534
attention_z2,6,0.00830901882820695,0.10322267655158304,0.03259981300930702,387,2.4476104746695615,0.01482541197084794
attention_z2,7,0.008566653349944258,0.11215141195669819,0.040951560318124115,383,2.5220376854036166,0.012073396785235724
attention_z2,8,0.00418789006603255,0.11564902031817074,0.04523467710461054,385,1.3469660016907343,0.17878554072742095
attention_ratio,-4,0.00798821422775446,0.00798821422775446,,498,2.364398320056212,0.01844284862066112
attention_ratio,-3,0.0054144445734607355,0.013402658801215194,,498,1.8014645422130666,0.07223563659841394
attention_ratio,-2,0.01576851525112499,0.02917117405234019,,498,5.4521007059909605,7.854959798552312e-08
attention_ratio,-1,0.025694486104099672,0.05486566015643986,,498,7.4789745263581064,3.4171421349118373e-13
attention_ratio,0,0.004288359930934493,0.05915402008737435,,498,1.4399744792301319,0.15050420772011733
attention_ratio,1,0.012063893731065277,0.07121791381843964,0.012063893731065277,498,3.706143055476803,0.0002340896782413391
attention_ratio,2,0.0050249839439143245,0.07710433162742666,0.017418153865502738,489,1.6885923382284331,0.09193641753951028
attention_ratio,3,0.006074669441923393,0.08233427583416494,0.023195088316681073,491,2.1003712675943156,0.03620669584458791
attention_ratio,4,0.0061096765121904685,0.09029331501088754,0.029034607670814273,489,2.2181877785411617,0.02700161223645096
attention_ratio,5,0.0035614560428211396,0.09162007201878054,0.0327801400174318,487,1.2164698145542836,0.22439645818009502
attention_ratio,6,0.009178556975575444,0.10165178357874047,0.042465363050026135,492,2.9974322193565732,0.002860562683151817
attention_ratio,7,0.009714964082625767,0.11064885032306898,0.05141237508580396,494,3.221601234590643,0.001359027000283729
attention_ratio,8,-0.0002629415331281022,0.11303729708057542,0.05359975876175843,491,-0.09354014428846823,0.9255126933040216
attention_top_decile,-4,0.005671674190990993,0.005671674190990993,,664,2.2978475982138273,0.021880944395759574
attention_top_decile,-3,0.00426129982309696,0.009932974014087954,,664,1.964056276264119,0.049940955124510196
attention_top_decile,-2,0.009438993214014363,0.01937196722810231,,664,3.365869940120579,0.0008070628417044447
attention_top_decile,-1,0.017827496125813195,0.03883011847171809,,663,6.5462409869155165,1.1834414236046052e-10
attention_top_decile,0,0.005300071820518293,0.04247268653569011,,664,2.2420768923751764,0.025286260105960544
attention_top_decile,1,0.006153226139053048,0.04862591267474316,0.006153226139053048,664,2.7491421154661704,0.006137883556727114
attention_top_decile,2,0.003247256865695154,0.05238606582594531,0.009689905121583643,651,1.520126347168138,0.12896548694313
attention_top_decile,3,0.0028437520111835217,0.055051994792700655,0.012374717314657072,650,1.3338360970081427,0.18272546618552443
attention_top_decile,4,0.004700882782339781,0.05988635050332816,0.01628704739948781,654,2.2558013196677984,0.024413175804861686
attention_top_decile,5,-0.0010700381237544847,0.05847428231635735,0.016042118843647236,658,-0.523591143009427,0.600739502874385
attention_top_decile,6,0.002469762249607885,0.061050892050447225,0.018947483373058203,655,1.1341897956723197,0.25713049541712923
attention_top_decile,7,0.005403718060658855,0.06579645640285559,0.022188053519063278,646,2.4242129217094894,0.015615452123649232
attention_top_decile,8,0.002598050147992913,0.07073601370341119,0.02727412883843306,647,1.2137072764296615,0.2253030754898695
