claim_area,artifact_type,legacy_artifact,legacy_status,legacy_present,legacy_sha256,corrected_artifact,corrected_status,corrected_sha256,not_regenerated_reason,headline_evidence_status
event_study_caar,table,results/tables/caar_event_summary.csv,superseded_invalidated_by_weekly_availability_bias,True,d3b4a5c0b7e023e7253baedf825eecada7c6b0a5b0e92703e74c8d5d426f0672,results/tables/caar_event_summary_asof_safe.csv,present,f4ae92a0d7b660518885ea6e85b8faae4a6486814a88148eb00dc11999ac57e3,,corrected_counterpart_available
attention_ic,table,results/tables/ic_summary.csv,superseded_invalidated_by_weekly_availability_bias,True,c7b6108dc1bd33051b988b6af7fb041c24fcafae8fc846263db7e09bd6110e07,not_regenerated,not_regenerated,,legacy IC headline is invalidated; no corrected IC table has been regenerated yet,blocked_not_regenerated
fama_macbeth_momentum_control,table,results/tables/v03_fama_macbeth_summary.csv,superseded_invalidated_by_weekly_availability_bias,True,7846190336179cf0231f4162b7efbf7af2b9fbcd7ae2df003d80a4840acd2fa4,results/tables/v03_fama_macbeth_summary_asof_safe.csv,present,a11de23fa02a911aa985a42a3a40af8a86758f7e350c5e6c9afb42104cc98259,,corrected_counterpart_available
matched_event_study,table,results/tables/v03_matched_event_summary.csv,superseded_invalidated_by_weekly_availability_bias,True,6cb6b60a5e6ab9292cf7b2b670738f9bf7491533273acf418780b941e8a72030,not_regenerated,not_regenerated,,legacy matched-event headline is invalidated; no corrected matched-event table has been regenerated yet,blocked_not_regenerated
residual_attention_ic,table,results/tables/v03_residual_ic_summary.csv,superseded_invalidated_by_weekly_availability_bias,True,bafaea83497752ea0dc36fa4a0ba6383db7928d455390f031244bd4594fea98e,results/tables/v03_residual_ic_summary_asof_safe.csv,present,1afc35aa617b1fe3264cd9604f49d70e4549167e6aa7b5bbc0adaa79b1100536,,corrected_counterpart_available
institutional_flow_regression,table,results/tables/v04_regression_with_chips_summary.csv,superseded_invalidated_by_weekly_availability_bias,True,49e73c1d2328cfa59ca92e8cbc9fbb09bd790c0b6d965e03faafc6518721f3c0,results/tables/v04_regression_with_chips_summary_asof_safe.csv,present,b462a559df9f09f4edcb44b930011cf17673987e1c8b45916eae746bb31af68a,,corrected_counterpart_available
institutional_flow_interactions,table,results/tables/v04_interaction_model_summary.csv,superseded_invalidated_by_weekly_availability_bias,True,2cec1de29d672c561602ce6695bfb930573daf95c0bbeb8a84157208593271a8,results/tables/v04_interaction_model_summary_asof_safe.csv,present,9fa1e68ccaa6eea24323cd2fdb61fa3edd35b5a4a8b4ca16d9808652e1ac001d,,corrected_counterpart_available
strategy_group_comparison,table,results/tables/v04_strategy_group_comparison.csv,superseded_invalidated_by_weekly_availability_bias,True,164524a576eda2bc3e937c16bd51bad3026cd00c0e9f48fc9ee081113785f3e6,not_regenerated,not_regenerated,,legacy strategy headline is invalidated; no corrected strategy comparison table has been regenerated yet,blocked_not_regenerated
event_study_caar,figure,results/figures/caar_attention_z2.png,superseded_invalidated_by_weekly_availability_bias,True,84dbbb8ebd227856bb75b08e12de645611b2c98a64c5e610653bdc8deef8a711,results/figures/caar_attention_z2_asof_safe.png,present,11c019841672b81bbc63a6149e5accb627658e4d8a182f7115a6fc1669fadcc3,,corrected_counterpart_available
attention_ic,figure,results/figures/ic_decay.png,superseded_invalidated_by_weekly_availability_bias,True,f5778ebb9e624346b3381e084becf4edf7c7b39b6f55cae5dfd3b112b4721078,not_regenerated,not_regenerated,,legacy IC figure is invalidated; no corrected IC figure has been regenerated yet,blocked_not_regenerated
double_sort,figure,results/figures/v03_double_sort_heatmap_4w.png,superseded_invalidated_by_weekly_availability_bias,True,f92da77898bc0c80b0f536f033478fa1a0a90146c30d3007bdca9d1c7078d6c6,results/figures/v03_double_sort_heatmap_4w_asof_safe.png,present,ae29cb5e39f72758c87e0fe13dda8f0e978286c446d3c7855beebd1e2301d4f8,,corrected_counterpart_available
residual_attention_ic,figure,results/figures/v03_residual_ic_decay.png,superseded_invalidated_by_weekly_availability_bias,True,2da06ff2aa10078e77daf3c9f7d2dbf453a730baae1bda34ccf9cc15b0799532,not_regenerated,not_regenerated,,legacy residual-IC figure is invalidated; no corrected residual-IC figure has been regenerated yet,blocked_not_regenerated
institutional_flow_correlation,figure,results/figures/v04_attention_chip_correlation_heatmap.png,superseded_invalidated_by_weekly_availability_bias,True,11df0ef890d03963b3318b6143b8e683d9bc98e72e32c0a2a923af06c3dc66ce,not_regenerated,not_regenerated,,legacy chip-correlation figure is invalidated; no corrected figure has been regenerated yet,blocked_not_regenerated
strategy_group_cumulative_return,figure,results/figures/v04_strategy_group_cumulative_return.png,superseded_invalidated_by_weekly_availability_bias,True,a2e1b29e877df40bcff65f245d1f1a1a08612b5af671e3bf6b3695fb187bfc95,not_regenerated,not_regenerated,,legacy strategy figure is invalidated; no corrected cumulative-return figure has been regenerated yet,blocked_not_regenerated
strategy_group_forward_return,figure,results/figures/v04_strategy_group_forward_return.png,superseded_invalidated_by_weekly_availability_bias,True,877e076253da2bd95ecc12012f9a5931bb4ca4fb6ec85f642254cad369d866d8,not_regenerated,not_regenerated,,legacy strategy figure is invalidated; no corrected forward-return figure has been regenerated yet,blocked_not_regenerated
triple_sort,figure,results/figures/v04_triple_sort_winner_group_heatmap.png,superseded_invalidated_by_weekly_availability_bias,True,a804e5aa72b5ed61f85679ea4566114c5a78d89c3d7cd9bde8b825564572c63b,results/figures/v04_triple_sort_winner_group_heatmap_asof_safe.png,present,92675a3301f04d77d3ee9291535582c138bbdd68df1952554dcf8c88fc832138,,corrected_counterpart_available
