model,horizon,coefficient,std_dev,t_stat,p_value,n_weeks,avg_r2,significant,winsorize_pct,n_obs,note
Model1_attention_only,future_1w_excess_return,0.0016844673657780283,0.011201732589782352,2.3150030826871713,0.02147163173868516,237,0.04263746380534175,True,none,,
Model1_attention_only,future_2w_excess_return,0.003368094159118574,0.01678375974956294,3.089364437948821,0.002246345056347021,237,0.042099126465088996,True,none,,
Model1_attention_only,future_4w_excess_return,0.00709764841594873,0.024772202884697236,4.4108676564815985,1.565534686021053e-05,237,0.04098212256202337,True,none,,
Model5_pooled_2wayFE_cluster_by_week,future_4w_excess_return,0.003733515292319589,,2.6764444673875274,0.007440789549116285,237,0.09448818566953432,True,none,11350.0,"Deviates from per-week Fama-MacBeth: week FE is undefined within a single week's cross-section, and per-week stock FE (50 dummies for ~50 obs) leaves no residual d.o.f. Estimated instead as a pooled two-way (stock+week) FE panel regression with SEs clustered by week (also addresses calendar-clustering)."
Model1_attention_only,future_1w_excess_return,0.001612508967580739,0.01147204950681906,2.163890593631006,0.031476589820162326,237,0.04332646152507983,True,1%,,
Model1_attention_only,future_2w_excess_return,0.003305114543087462,0.017296805065039337,2.9416757285064334,0.003589439574778419,237,0.04241613886048683,True,1%,,
Model1_attention_only,future_4w_excess_return,0.007212763043739964,0.02582897058577512,4.299012819120589,2.5110780227599605e-05,237,0.04186766323281494,True,1%,,
Model5_pooled_2wayFE_cluster_by_week,future_4w_excess_return,0.003896327467805805,,2.6055665696332295,0.00917224478904568,237,0.09444371719066391,True,1%,11350.0,"Deviates from per-week Fama-MacBeth: week FE is undefined within a single week's cross-section, and per-week stock FE (50 dummies for ~50 obs) leaves no residual d.o.f. Estimated instead as a pooled two-way (stock+week) FE panel regression with SEs clustered by week (also addresses calendar-clustering)."
Model1_attention_only,future_1w_excess_return,0.001550804550886207,0.012749626880985257,1.872551473054588,0.06236686073585007,237,0.04231888731763898,False,5%,,
Model1_attention_only,future_2w_excess_return,0.0033484935751352685,0.019218728559903614,2.6822483698519384,0.007829725870838189,237,0.04126722597689089,True,5%,,
Model1_attention_only,future_4w_excess_return,0.007704761921298477,0.02923063748186564,4.05784178232099,6.7361821541434e-05,237,0.04100449393111683,True,5%,,
Model5_pooled_2wayFE_cluster_by_week,future_4w_excess_return,0.0038923309064017473,,2.4464411720915327,0.014427433975023819,237,0.09423494773516505,True,5%,11350.0,"Deviates from per-week Fama-MacBeth: week FE is undefined within a single week's cross-section, and per-week stock FE (50 dummies for ~50 obs) leaves no residual d.o.f. Estimated instead as a pooled two-way (stock+week) FE panel regression with SEs clustered by week (also addresses calendar-clustering)."
