,,future_1w_excess_return,future_1w_excess_return,future_2w_excess_return,future_2w_excess_return,future_4w_excess_return,future_4w_excess_return
,,mean,count,mean,count,mean,count
mom_bucket,att_bucket,,,,,,
loser,low_attention,0.0013899543378995433,1533,0.002949445531637313,1533,0.00012067840834964111,1533
loser,mid_attention,-0.0001217147435897437,1248,0.001276602564102564,1248,0.00441113782051282,1248
loser,high_attention,-0.001894,1100,-0.0025308181818181823,1100,0.0029127272727272726,1100
neutral,low_attention,-0.003317865085248332,1349,-0.00540533728687917,1349,-0.006432171979243884,1349
neutral,mid_attention,0.002126038338658147,1252,0.004118690095846645,1252,0.007173083067092652,1252
neutral,high_attention,0.0025960745829244356,1019,0.004034936211972522,1019,0.008566339548577037,1019
winner,low_attention,0.004347313854853911,1061,0.0056411875589066915,1061,0.009057492931196983,1061
winner,mid_attention,0.004711493288590604,1192,0.01020738255033557,1192,0.022170302013422818,1192
winner,high_attention,0.006821540388227927,1597,0.015306512210394491,1597,0.026596430807764557,1597
