model,horizon,coefficient,std_dev,t_stat,p_value,n_weeks,avg_r2,significant,n_obs,note
Model1_attention_only,future_1w_excess_return,0.00391646829651399,0.011024903221155529,5.45727489828752,1.2248869096787018e-07,236,0.05261866861011151,True,,
Model1_attention_only,future_2w_excess_return,0.005914856769227908,0.015947539203078613,5.6857071259588645,3.863527053837856e-08,235,0.049498646595928335,True,,
Model1_attention_only,future_4w_excess_return,0.010566388153329517,0.0265736514896035,6.069505172407015,5.186183038574654e-09,233,0.04932087944910834,True,,
Model2_plus_momentum,future_1w_excess_return,0.0025019851255450023,0.009590877618586475,4.0075816150686965,8.23813395411932e-05,236,0.1828460772848984,True,,
Model2_plus_momentum,future_2w_excess_return,0.0032059989095004696,0.012864895646805473,3.820243395995366,0.00017085875180544718,235,0.17784239116331718,True,,
Model2_plus_momentum,future_4w_excess_return,0.004876576584471928,0.02035855256890892,3.656336111696426,0.0003165312035258161,233,0.17997063637035457,True,,
Model3_plus_volume_vol,future_1w_excess_return,0.0026936056286495824,0.009216949325913763,4.489549999535339,1.1186479744074163e-05,236,0.28425097310913555,True,,
Model3_plus_volume_vol,future_2w_excess_return,0.003141896742771651,0.012056901701876939,3.9947547236959187,8.677265085665908e-05,235,0.2738899014818344,True,,
Model3_plus_volume_vol,future_4w_excess_return,0.0036317657719997527,0.019225128028098303,2.8835437904678174,0.004301949322551124,233,0.27872749396360297,True,,
Model4_plus_liquidity_industry_FE,future_1w_excess_return,0.0008593929871406423,0.013538170283785254,0.9751868458664092,0.33047034245022444,236,0.8892992135162349,False,,
Model4_plus_liquidity_industry_FE,future_2w_excess_return,0.002146073929484508,0.018238705614508372,1.8037842742264116,0.0725512037838969,235,0.8929936396393547,False,,
Model4_plus_liquidity_industry_FE,future_4w_excess_return,0.004385253905891541,0.02519319840768643,2.6569868048533314,0.008431897477561234,233,0.8968214376667618,True,,
Model5_pooled_2wayFE_cluster_by_week,future_1w_excess_return,0.004273291296175014,,5.740395588793011,9.445564349834933e-09,236,0.07218123570548274,True,10943.0,"Deviates from per-week Fama-MacBeth: week FE is undefined within a single week's cross-section, and per-week stock FE (50 dummies for ~50 obs) leaves no residual d.o.f. Estimated instead as a pooled two-way (stock+week) FE panel regression with SEs clustered by week (also addresses calendar-clustering)."
Model5_pooled_2wayFE_cluster_by_week,future_2w_excess_return,0.005025252918421856,,5.253017874429254,1.4962700898932032e-07,235,0.08533506652865919,True,10893.0,"Deviates from per-week Fama-MacBeth: week FE is undefined within a single week's cross-section, and per-week stock FE (50 dummies for ~50 obs) leaves no residual d.o.f. Estimated instead as a pooled two-way (stock+week) FE panel regression with SEs clustered by week (also addresses calendar-clustering)."
Model5_pooled_2wayFE_cluster_by_week,future_4w_excess_return,0.007302317137641714,,4.115536326446133,3.8628015113692555e-05,233,0.10720916095027089,True,10793.0,"Deviates from per-week Fama-MacBeth: week FE is undefined within a single week's cross-section, and per-week stock FE (50 dummies for ~50 obs) leaves no residual d.o.f. Estimated instead as a pooled two-way (stock+week) FE panel regression with SEs clustered by week (also addresses calendar-clustering)."
