model,horizon,coefficient,std_dev,t_stat,p_value,n_weeks,avg_r2,significant,n_obs,note
Model1_attention_only,future_1w_excess_return,0.0016844673657780283,0.011201732589782352,2.3150030826871713,0.02147163173868516,237,0.04263746380534175,True,,
Model1_attention_only,future_2w_excess_return,0.003368094159118574,0.01678375974956294,3.089364437948821,0.002246345056347021,237,0.042099126465088996,True,,
Model1_attention_only,future_4w_excess_return,0.00709764841594873,0.024772202884697236,4.4108676564815985,1.565534686021053e-05,237,0.04098212256202337,True,,
Model2_plus_momentum,future_1w_excess_return,0.0005181178083669785,0.009438013312942108,0.8451272539231774,0.3988957680490799,237,0.17474899236885277,False,,
Model2_plus_momentum,future_2w_excess_return,0.000550662379572024,0.013458017793419024,0.6299099695891736,0.5293628732716993,237,0.16741251628956846,False,,
Model2_plus_momentum,future_4w_excess_return,0.0016252652923687706,0.018672841898705893,1.3399482134072997,0.18155090073811442,237,0.172526767518877,False,,
Model3_plus_volume_vol,future_1w_excess_return,0.00012036567757703734,0.009784927142384011,0.18937351561020457,0.8499628467451994,237,0.2780443888444732,False,,
Model3_plus_volume_vol,future_2w_excess_return,-0.00020354179085944402,0.013210700329825931,-0.237193030093284,0.8127128137869575,237,0.26296171014128117,False,,
Model3_plus_volume_vol,future_4w_excess_return,0.00022247845055848995,0.019033852934425784,0.17994318981003019,0.8573515778944305,237,0.2673328341406148,False,,
Model4_plus_liquidity_industry_FE,future_1w_excess_return,-0.0004012462802020082,0.015873851592444213,-0.3891373137261934,0.6975254566723561,237,0.8834172673857679,False,,
Model4_plus_liquidity_industry_FE,future_2w_excess_return,0.0011846136742349972,0.020417169277655293,0.8932137192807095,0.3726526493086668,237,0.88373132700199,False,,
Model4_plus_liquidity_industry_FE,future_4w_excess_return,0.001493359691641946,0.030533387281187364,0.7529456204123868,0.45223301189482523,237,0.890251176855937,False,,
Model5_pooled_2wayFE_cluster_by_week,future_1w_excess_return,0.0006778860765780332,,1.0270257619815721,0.3044083334875356,237,0.06323455085414609,False,11350.0,"Deviates from per-week Fama-MacBeth: week FE is undefined within a single week's cross-section, and per-week stock FE (50 dummies for ~50 obs) leaves no residual d.o.f. Estimated instead as a pooled two-way (stock+week) FE panel regression with SEs clustered by week (also addresses calendar-clustering)."
Model5_pooled_2wayFE_cluster_by_week,future_2w_excess_return,0.001443163682808687,,1.5269402410432888,0.1267758719036765,237,0.07431769917797826,False,11350.0,"Deviates from per-week Fama-MacBeth: week FE is undefined within a single week's cross-section, and per-week stock FE (50 dummies for ~50 obs) leaves no residual d.o.f. Estimated instead as a pooled two-way (stock+week) FE panel regression with SEs clustered by week (also addresses calendar-clustering)."
Model5_pooled_2wayFE_cluster_by_week,future_4w_excess_return,0.003733515292319589,,2.6764444673875274,0.007440789549116285,237,0.09448818566953432,True,11350.0,"Deviates from per-week Fama-MacBeth: week FE is undefined within a single week's cross-section, and per-week stock FE (50 dummies for ~50 obs) leaves no residual d.o.f. Estimated instead as a pooled two-way (stock+week) FE panel regression with SEs clustered by week (also addresses calendar-clustering)."
