stock_id,stock_name,success,date_start,date_end,n_days,missing_rate,usable_weeks,available_fields,unavailable_fields
2330,台積電,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2454,聯發科,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2308,台達電,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2317,鴻海,True,2021-01-04,2026-08-31,1372,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
3711,日月光投控,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2303,聯電,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2327,國巨,True,2021-01-04,2026-08-31,1358,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2383,台光電,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
3037,欣興電子,True,2021-01-04,2026-08-31,1372,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2891,中信金,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2881,富邦金,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2882,國泰金,True,2021-01-04,2026-08-31,1372,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2382,廣達,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2345,智邦,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2412,中華電信,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
3017,奇鋐,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2886,兆豐金,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
6669,緯穎,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
3231,緯創,True,2021-01-04,2026-08-31,1372,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2357,華碩,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
1216,統一企業,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2884,玉山金,True,2021-01-04,2026-08-31,1372,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2885,元大金,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2301,光寶科,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2356,英業達,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
2002,中鋼,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
1301,台塑,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
1303,南亞塑膠,True,2021-01-04,2026-08-31,1373,0.0,237,"foreign/trust/dealer/total net buy value+ratio (1w,4w)",monetary value (only share counts available from FinMind free tier)
