,,,future_1w_excess_return,future_1w_excess_return,future_2w_excess_return,future_2w_excess_return,future_4w_excess_return,future_4w_excess_return
,,,mean,count,mean,count,mean,count
mom_bucket,att_bucket,chip_bucket,,,,,,
loser,low_attention,inst_selling,-0.0021047982551799346,917,-0.0034619411123227918,917,-0.010165757906215921,917
loser,low_attention,inst_neutral,0.004152256532066508,421,0.008912589073634205,421,0.006243705463182898,421
loser,low_attention,inst_buying,0.003245128205128205,195,0.002213846153846154,195,0.00021230769230769212,195
loser,mid_attention,inst_selling,-0.002035977337110482,706,-0.0024760623229461757,706,0.00022152974504249296,706
loser,mid_attention,inst_neutral,-0.0006672922252010724,373,-0.00035281501340482573,373,-0.0002546916890080428,373
loser,mid_attention,inst_buying,0.006297175141242938,177,0.012293785310734464,177,0.006912429378531074,177
loser,high_attention,inst_selling,-0.002253073463268366,667,-0.0021415292353823092,667,0.004487706146926536,667
loser,high_attention,inst_neutral,-0.0028798045602605863,307,-0.006865146579804559,307,-0.008007491856677524,307
loser,high_attention,inst_buying,0.0002734374999999999,128,0.0036851562500000005,128,0.0029429687500000003,128
neutral,low_attention,inst_selling,-0.004477676537585421,439,-0.005667881548974943,439,-0.011653986332574032,439
neutral,low_attention,inst_neutral,-0.002041904761904762,420,-0.004549047619047619,420,-0.0011450000000000002,420
neutral,low_attention,inst_buying,-0.00515562372188139,489,-0.00971635991820041,489,-0.013419427402862985,489
neutral,mid_attention,inst_selling,0.0029872521246458923,353,0.004415014164305949,353,0.00891728045325779,353
neutral,mid_attention,inst_neutral,0.0013314410480349346,458,0.0041028384279475985,458,0.004962445414847162,458
neutral,mid_attention,inst_buying,-0.002701647058823529,425,-0.006320470588235294,425,-0.005905647058823529,425
neutral,high_attention,inst_selling,0.00013120000000000007,375,-0.0020242666666666666,375,-0.0029530666666666666,375
neutral,high_attention,inst_neutral,0.002085714285714286,343,0.0043326530612244896,343,0.006613702623906706,343
neutral,high_attention,inst_buying,0.0020736156351791528,307,0.003435830618892508,307,0.011033876221498371,307
winner,low_attention,inst_selling,0.002226415094339623,106,0.0029707547169811315,106,0.008882075471698113,106
winner,low_attention,inst_neutral,0.0035809523809523804,315,0.0051736507936507945,315,0.011904444444444443,315
winner,low_attention,inst_buying,0.0033198127925117005,641,0.002578315132605304,641,-0.0007354134165366614,641
winner,mid_attention,inst_selling,0.004925563909774436,133,0.003297744360902256,133,0.0030052631578947374,133
winner,mid_attention,inst_neutral,0.007315671641791045,402,0.01404278606965174,402,0.027830099502487562,402
winner,mid_attention,inst_buying,0.0018366917293233082,665,0.0070332330827067675,665,0.017461654135338345,665
winner,high_attention,inst_selling,0.00434093567251462,171,0.015935087719298247,171,0.015157894736842106,171
winner,high_attention,inst_neutral,0.008166047297297297,592,0.014363006756756757,592,0.031149831081081082,592
winner,high_attention,inst_buying,0.0042242130750605325,826,0.011916222760290557,826,0.018283292978208233,826
